List Price,Sale Price,Brand,category_level1,ecomm_id
26.14,26.14,Business Essentials,Office,234
68.1,68.1,Business Essentials,Office,235
11.36,11.36,Business Essentials,Office,236
34.14,34.14,Business Essentials,Office,239
31.99,31.99,Business Essentials,Office,240
19.03,19.03,Business Essentials,Office,241
34.5,34.5,Business Essentials,Office,245
26.09,26.09,Business Essentials,Office,246
79.06,79.06,Business Essentials,Office,247
23.56,23.56,Business Essentials,Office,248
22.78,22.78,Business Essentials,Office,249
47.89,47.89,Business Essentials,Office,253
34.28,34.28,Business Essentials,Office,254
10.4,10.4,Business Essentials,Office,255
43.5,43.5,Business Essentials,Office,256
24.64,24.64,Business Essentials,Office,258
32.26,32.26,Business Essentials,Office,259
43.01,43.01,Business Essentials,Office,260
43.34,43.34,Business Essentials,Office,261
26.94,26.94,Business Essentials,Office,262
35.11,35.11,Business Essentials,Office,264
30.48,30.48,Business Essentials,Office,267
9.52,9.52,Business Essentials,Office,268
28.63,28.63,Business Essentials,Office,269
29.59,29.59,Business Essentials,Office,270
110.63,110.63,Business Essentials,Office,271
42.47,42.47,Business Essentials,Office,272
37.19,37.19,Business Essentials,Office,274
48.65,48.65,Business Essentials,Office,276
9.0,9.0,Business Essentials,Office,277
28.5,28.5,Business Essentials,Office,279
35.21,35.21,Business Essentials,Office,280
36.46,36.46,Business Essentials,Office,283
56.38,56.38,Business Essentials,Office,284
58.56,58.56,Business Essentials,Office,285
19.61,19.61,Business Essentials,Office,287
26.71,26.71,Business Essentials,Office,288
47.98,47.98,Business Essentials,Office,289
93.22,93.22,Business Essentials,Office,291
36.6,36.6,Business Essentials,Office,292
48.34,48.34,Business Essentials,Office,293
32.02,32.02,Business Essentials,Office,295
29.59,29.59,Business Essentials,Office,296
26.68,26.68,Business Essentials,Office,299
21.74,21.74,Business Essentials,Office,301
33.84,33.84,Business Essentials,Office,302
21.4,21.4,Business Essentials,Office,303
43.43,43.43,Business Essentials,Office,304
50.28,50.28,Business Essentials,Office,305
23.33,23.33,Business Essentials,Office,306
8.72,8.72,Business Essentials,Office,308
30.17,30.17,Business Essentials,Office,312
44.63,44.63,Business Essentials,Office,314
46.21,46.21,Business Essentials,Office,318
33.58,33.58,Business Essentials,Office,319
26.65,26.65,Business Essentials,Office,320
42.98,42.98,Business Essentials,Office,323
21.4,21.4,Business Essentials,Office,326
35.66,35.66,Business Essentials,Office,328
44.89,44.89,Business Essentials,Office,331
43.32,43.32,Business Essentials,Office,332
32.28,32.28,Business Essentials,Office,333
27.46,27.46,Business Essentials,Office,335
32.66,32.66,Business Essentials,Office,336
51.38,51.38,Business Essentials,Office,339
44.62,44.62,Business Essentials,Office,342
28.15,28.15,Business Essentials,Office,344
38.33,38.33,Business Essentials,Office,347
22.38,22.38,Business Essentials,Office,348
19.97,19.97,Business Essentials,Office,350
37.88,37.88,Business Essentials,Office,351
46.79,46.79,Business Essentials,Office,354
56.58,56.58,Business Essentials,Office,355
97.68,97.68,Business Essentials,Office,359
26.3,26.3,Business Essentials,Office,361
50.46,50.46,Business Essentials,Office,362
42.96,42.96,Business Essentials,Office,363
37.4,37.4,Business Essentials,Office,364
41.52,41.52,Business Essentials,Office,365
39.49,39.49,Business Essentials,Office,367
26.52,26.52,Business Essentials,Office,370
37.2,37.2,Business Essentials,Office,371
26.59,26.59,Business Essentials,Office,372
20.82,20.82,Business Essentials,Office,373
28.19,28.19,Business Essentials,Office,375
44.53,44.53,Business Essentials,Office,377
35.08,35.08,Business Essentials,Office,379
35.45,35.45,Business Essentials,Office,380
23.69,23.69,Business Essentials,Office,382
34.1,34.1,Business Essentials,Office,384
58.02,58.02,Business Essentials,Office,385
43.31,43.31,Business Essentials,Office,386
29.05,29.05,Business Essentials,Office,388
32.05,32.05,Business Essentials,Office,389
42.53,42.53,Business Essentials,Office,390
63.01,63.01,Business Essentials,Office,391
22.1,22.1,Business Essentials,Office,393
48.94,48.94,Business Essentials,Office,396
